V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1955	324500	324500	345794	345794	345794	345794	345794	345794	345794	345794	345794
1956	345794	345794	330985	330985	330985	330985	330985	330985	330985	330985	330985
1957	330985	330985	346447	346447	346447	346447	346447	346447	346447	346447	346447
1958	346447	346447	363455	363455	363455	363455	363455	363455	363455	363455	363455
1959	363455	363455	329102	329102	329102	329102	329102	329102	329102	329102	329102
1960	329102	329102	354980	354980	354980	354980	354980	354980	354980	354980	354980
1961	354980	354980	329183	329183	329183	329183	329183	329183	329183	329183	329183
1962	329183	329183	319790	319790	319790	319790	319790	319790	319790	319790	319790
1963	319790	319790	360047	360047	360047	360047	360047	360047	360047	360047	360047
1964	360047	360047	338358	338358	338358	338358	338358	338358	338358	338358	338358
1965	338358	338358	359931	359931	359931	359931	359931	359931	359931	359931	359931
1966	359931	359931	397554	397554	397554	397554	397554	397554	397554	397554	397554
1967	397554	397554	375119	375119	375119	375119	375119	375119	375119	375119	375119
1968	375119	375119	339664	339664	339664	339664	339664	339664	339664	339664	339664
1969	339664	339664	261653	261653	261653	261653	261653	261653	261653	261653	261653
1970	261653	261653	338211	338211	338211	338211	338211	338211	338211	338211	338211
1971	338211	338211	419214	419214	419214	419214	419214	419214	419214	419214	419214
1972	419214	419214	270929	270929	270929	270929	270929	270929	270929	270929	270929
1973	270929	270929	368952	368952	368952	368952	368952	368952	368952	368952	368952
1974	368952	368952	293904	293904	293904	293904	293904	293904	293904	293904	293904
1975	293904	293904	389231	389231	389231	389231	389231	389231	389231	389231	389231
1976	389231	389231	267738	267738	267738	267738	267738	267738	267738	267738	267738
1977	267738	267738	303702	303702	303702	303702	303702	303702	303702	303702	303702
1978	303702	303702	271537	271537	271537	271537	271537	271537	271537	271537	271537
1979	271537	271537	301770	301770	301770	301770	301770	301770	301770	301770	301770
1980	301770	301770	344966	344966	344966	344966	344966	344966	344966	344966	344966
1981	344966	344966	350444	350444	350444	350444	350444	350444	350444	350444	350444
1982	350444	350444	321853	321853	321853	321853	321853	321853	321853	321853	321853
1983	321853	321853	297169	297169	297169	297169	297169	297169	297169	297169	297169
1984	297169	297169	285690	285690	285690	285690	285690	285690	285690	285690	285690
1985	285690	285690	325552	325552	325552	325552	325552	325552	325552	325552	325552
1986	325552	325552	302020	302020	302020	302020	302020	302020	302020	302020	302020
