V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1991	171583	156641	132175	78443	45692	40020	54363	106698	145832	170125	153730	136904
1992	119367	87329	50707	22537	3874	0	4941	77379	136289	160792	175236	170502
1993	150813	117535	79330	38443	14020	6238	28005	96445	141262	176842	170230	145416
1994	119223	84030	59270	33697	25884	17160	13606	60618	143451	187070	198994	186541
1995	184643	171821	133454	83439	43789	22096	20728	70857	151391	201299	201299	194665
1996	184643	171821	133455	79899	40638	19474	10259	64223	150368	201299	201299	194664
1997	184643	171821	133455	80961	44537	39278	42540	106698	173362	198666	199770	190799
1998	175964	170765	133455	80661	40485	18046	27569	76051	153359	198666	201299	194665
1999	184643	171821	133454	82096	42393	35124	43350	93848	164399	198666	198654	186727


Q_TY_ARD_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	1378	1255	1322	1493	1439	566	382	772	970	1531	1905	1247
1941	438	948	332	1733	1621	805	731	141	536	853	1431	1328
1942	1102	482	1082	1595	1677	566	718	142	142	972	1437	1026
1943	801	800	1352	1632	1685	628	514	485	703	1174	1890	1671
1944	1142	1529	1307	943	396	211	286	142	142	784	1762	1387
1945	973	996	862	1973	844	382	349	830	706	1597	1551	1138
1946	709	663	1472	1982	1699	728	433	452	882	1691	1461	1133
1947	1170	884	1523	1982	1753	803	382	698	1611	870	1869	1270
1948	978	818	1476	1626	1698	566	585	314	301	1161	1309	1528
1949	884	334	1367	1982	1699	665	382	142	1156	1897	1795	1280
1950	904	855	1602	1982	1699	566	459	485	499	1922	1448	979
1951	916	739	1464	1982	1403	566	537	312	685	1722	1603	1254
1952	1081	1124	1271	1413	1113	566	696	298	538	1174	1621	1175
1953	1058	1003	1593	1982	1699	1018	626	206	749	2414	2274	1610
1954	980	1094	1657	1982	1699	566	537	142	583	2045	1649	1113
1955	902	855	1520	1982	1753	938	502	501	937	1657	1541	1180
1956	979	796	1521	1982	1699	771	382	1575	142	1463	1351	1516
1957	820	834	1027	1982	1699	1110	451	927	986	1233	1645	1415
1958	862	839	1560	1982	1699	970	840	142	1224	1866	1780	1714
1959	1237	1010	1627	1982	1750	626	517	141	765	2050	1668	1240
1960	1102	938	1544	1982	1699	1033	656	431	1540	1111	1856	1285
1961	823	778	1487	1982	1558	566	577	141	838	1648	1972	1200
1962	984	971	1620	1982	1699	566	409	142	822	1804	1785	1469
1963	959	819	1527	1982	1752	807	382	142	1362	1980	1876	1320
1964	1311	984	1541	1982	1671	566	444	507	945	1248	2288	990
1965	1007	1000	1565	1982	1650	861	690	326	959	1906	2006	1416
1966	1092	695	1566	1982	1699	948	759	454	2371	1364	2085	1537
1967	1065	913	1525	1982	1749	1139	784	142	1305	1930	2060	1588
1968	1048	918	1552	1982	1699	953	579	444	1283	1199	1582	1241
1969	977	967	1617	1634	1699	566	454	141	142	972	1480	1200
1970	800	490	1334	1982	1699	566	382	427	985	1587	1955	1083
1971	896	829	1533	1982	1752	1082	802	1402	1895	1258	2207	1182
1972	933	783	1502	1665	1699	566	382	141	567	1218	1471	1293
1973	1110	283	1443	1982	1699	910	932	142	1342	1671	2067	1206
1974	849	685	1498	1982	1342	566	382	142	524	1578	1496	1109
1975	1024	1180	1703	1982	1637	894	686	494	142	2441	3059	2014
1976	996	795	1456	1728	1692	613	608	877	1407	1742	2034	1395
1977	908	1278	611	283	647	566	556	141	564	1281	1104	1653
1978	1145	975	1557	1685	1699	566	382	142	142	1423	1517	1602
1979	1102	1160	963	1982	756	566	1081	402	361	1322	1255	1319
1980	922	786	1693	1982	1699	912	382	611	449	1955	2145	1318
1981	975	1043	1592	1982	1699	987	382	142	1410	1601	1904	1624
1982	1029	890	1544	1982	1699	601	671	219	741	1729	1771	1176
1983	829	1064	1539	1982	1469	566	518	142	517	1398	1811	1227
1984	868	765	1446	1982	1257	566	389	355	455	1612	1356	998
1985	578	843	1504	1982	1699	647	515	142	1394	1323	1665	1096
1986	674	662	1464	1982	1596	566	382	560	1669	1349	1478	1542
1987	1280	1529	1153	1210	995	431	382	142	1342	1701	1966	1695
1988	1074	1279	1255	1028	946	422	379	142	289	1161	1323	1326
1989	1080	283	1394	1982	1699	997	562	142	946	1844	1846	1220
1990	904	982	1669	1982	1699	990	898	365	630	2079	2305	1216
1991	1243	819	1057	1982	1456	566	453	509	1995	1168	1844	1337
1992	1305	1492	1464	1156	859	373	382	142	142	876	983	910
1993	1069	1414	1510	1585	1095	566	382	142	1334	1495	1828	1738
1994	1314	1448	1081	1072	566	566	664	397	493	990	1214	1451
1995	867	1049	1772	1982	1748	1077	981	142	899	2022	1872	1242
1996	1045	905	1571	1982	1699	1042	909	762	1115	1670	1881	1527
1997	1697	1073	1633	1982	1638	566	645	839	142	1390	1440	1194
1998	882	484	1495	1982	1699	1055	395	142	1007	2034	2581	1257
1999	887	1342	1718	1982	1709	566	432	142	664	2177	1715	1382


V_SOA_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	0	0	0	4854	14276	14276	14276	12135	9993	0	0	0
1941	0	0	0	12849	14276	14276	14276	12135	9993	0	0	0
1942	0	0	0	8280	14276	14276	14276	12135	9993	0	0	0
1943	0	0	0	8423	14276	14276	14276	12135	9993	0	0	0
1944	0	0	0	143	143	143	143	143	143	0	0	0
1945	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1946	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1947	0	0	0	10850	10850	10850	10850	9280	7566	0	0	0
1948	0	0	0	8138	14276	14276	14276	12135	9993	0	0	0
1949	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1950	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1951	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1952	0	0	0	2427	12849	12849	14276	12135	9993	0	0	0
1953	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1954	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1955	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1956	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1957	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1958	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1959	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1960	0	0	0	7424	7424	7424	7424	6282	5140	0	0	0
1961	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1962	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1963	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1964	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1965	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1966	0	0	0	3855	3855	3855	3855	3284	2713	0	0	0
1967	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1968	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1969	0	0	0	9993	14276	14276	14276	12135	9993	0	0	0
1970	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1971	0	0	0	5282	5282	5282	5282	4426	3712	0	0	0
1972	0	0	0	10993	14276	14276	14276	12135	9993	0	0	0
1973	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1974	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1975	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1976	0	0	0	11564	14276	14276	14276	12135	9993	0	0	0
1977	0	0	0	143	143	143	2284	1999	1570	0	0	0
1978	0	0	0	10279	14276	14276	14276	12135	9993	0	0	0
1979	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1980	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1981	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1982	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1983	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1984	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1985	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1986	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1987	0	0	0	143	7995	7995	8138	6853	5711	0	0	0
1988	0	0	0	143	143	143	143	143	143	0	0	0
1989	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1990	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1991	0	0	0	11136	11136	11136	11136	9422	7709	0	0	0
1992	0	0	0	143	8280	8280	8423	7138	5853	0	0	0
1993	0	0	0	7281	14276	14276	14276	12135	9993	0	0	0
1994	0	0	0	143	143	143	3141	2713	2141	0	0	0
1995	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1996	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1997	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1998	0	0	0	14276	14276	14276	14276	12135	9993	0	0	0
1999	0	0	0	143	7995	7995	8138	6853	5711	0	0	0


Q_SOA_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	0	0	0	-157	-337	0	0	69	71	322	0	0
1941	0	0	0	-414	-51	0	0	69	71	322	0	0
1942	0	0	0	-267	-214	0	0	69	71	322	0	0
1943	0	0	0	-272	-209	0	0	69	71	322	0	0
1944	0	0	0	-5	0	0	0	0	0	5	0	0
1945	0	0	0	-461	0	0	0	69	71	322	0	0
1946	0	0	0	-461	0	0	0	69	71	322	0	0
1947	0	0	0	-350	0	0	0	51	57	244	0	0
1948	0	0	0	-263	-219	0	0	69	71	322	0	0
1949	0	0	0	-461	0	0	0	69	71	322	0	0
1950	0	0	0	-461	0	0	0	69	71	322	0	0
1951	0	0	0	-461	0	0	0	69	71	322	0	0
1952	0	0	0	-78	-372	0	-48	69	71	322	0	0
1953	0	0	0	-461	0	0	0	69	71	322	0	0
1954	0	0	0	-461	0	0	0	69	71	322	0	0
1955	0	0	0	-461	0	0	0	69	71	322	0	0
1956	0	0	0	-461	0	0	0	69	71	322	0	0
1957	0	0	0	-461	0	0	0	69	71	322	0	0
1958	0	0	0	-461	0	0	0	69	71	322	0	0
1959	0	0	0	-461	0	0	0	69	71	322	0	0
1960	0	0	0	-239	0	0	0	37	38	166	0	0
1961	0	0	0	-461	0	0	0	69	71	322	0	0
1962	0	0	0	-461	0	0	0	69	71	322	0	0
1963	0	0	0	-461	0	0	0	69	71	322	0	0
1964	0	0	0	-461	0	0	0	69	71	322	0	0
1965	0	0	0	-461	0	0	0	69	71	322	0	0
1966	0	0	0	-124	0	0	0	18	19	88	0	0
1967	0	0	0	-461	0	0	0	69	71	322	0	0
1968	0	0	0	-461	0	0	0	69	71	322	0	0
1969	0	0	0	-322	-153	0	0	69	71	322	0	0
1970	0	0	0	-461	0	0	0	69	71	322	0	0
1971	0	0	0	-170	0	0	0	28	24	120	0	0
1972	0	0	0	-355	-117	0	0	69	71	322	0	0
1973	0	0	0	-461	0	0	0	69	71	322	0	0
1974	0	0	0	-461	0	0	0	69	71	322	0	0
1975	0	0	0	-461	0	0	0	69	71	322	0	0
1976	0	0	0	-373	-97	0	0	69	71	322	0	0
1977	0	0	0	-5	0	0	-71	9	14	51	0	0
1978	0	0	0	-332	-143	0	0	69	71	322	0	0
1979	0	0	0	-461	0	0	0	69	71	322	0	0
1980	0	0	0	-461	0	0	0	69	71	322	0	0
1981	0	0	0	-461	0	0	0	69	71	322	0	0
1982	0	0	0	-461	0	0	0	69	71	322	0	0
1983	0	0	0	-461	0	0	0	69	71	322	0	0
1984	0	0	0	-461	0	0	0	69	71	322	0	0
1985	0	0	0	-461	0	0	0	69	71	322	0	0
1986	0	0	0	-461	0	0	0	69	71	322	0	0
1987	0	0	0	-5	-280	0	-5	41	38	184	0	0
1988	0	0	0	-5	0	0	0	0	0	5	0	0
1989	0	0	0	-461	0	0	0	69	71	322	0	0
1990	0	0	0	-461	0	0	0	69	71	322	0	0
1991	0	0	0	-359	0	0	0	55	57	249	0	0
1992	0	0	0	-5	-291	0	-5	41	43	189	0	0
1993	0	0	0	-235	-250	0	0	69	71	322	0	0
1994	0	0	0	-5	0	0	-100	14	19	69	0	0
1995	0	0	0	-461	0	0	0	69	71	322	0	0
1996	0	0	0	-461	0	0	0	69	71	322	0	0
1997	0	0	0	-461	0	0	0	69	71	322	0	0
1998	0	0	0	-461	0	0	0	69	71	322	0	0
1999	0	0	0	-5	-280	0	-5	41	38	184	0	0


V_LCA_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	765	-4332	-10477	-10477	-10477	-10477	-10477	-10477	-10477	-10477	-10477	-15574
1941	-10789	-15574	-15574	-9430	-3879	-255	-255	-255	-255	-255	-255	-5352
1942	-85	-5182	-11327	-11327	-5777	-5777	-5777	-5777	-5777	-5777	-5777	-3851
1943	1416	1416	-4729	-4729	-4729	-10874	-10874	-10874	-10874	-13819	-13819	-8722
1944	-3455	-8552	-14696	-5779	0	0	0	-14696	-14696	-14696	-14696	-9599
1945	-4332	-9430	-15574	-15574	-4995	0	-8016	-10449	-10449	-10449	-10449	-15546
1946	-10477	-15574	-15574	-11638	-6088	-2237	-2237	-2237	-2237	-2237	-2237	-7334
1947	-2067	-6739	-6739	-595	-6145	0	0	0	0	0	0	-4049
1948	1218	-3879	-10024	-10024	-15574	-15574	-15574	-15574	-15574	-15574	-15574	-14696
1949	-9430	-9430	-15574	-15574	-10024	-10024	-10024	-10024	-10024	-10024	-10024	-15121
1950	-15574	-15574	-15574	-9430	-3879	0	0	0	0	0	-1812	-6909
1951	-1642	-6739	-6739	-595	-6145	0	0	0	0	0	0	-5097
1952	-4332	-9430	-15574	-9430	-9430	-9430	-9430	-9430	-9430	-9430	-9430	-14527
1953	-9260	-14357	-14357	-14951	-9401	-8948	-7014	-8948	-8948	-8948	-8948	-3851
1954	1416	-3681	-5267	878	-4672	-10817	-10817	-10817	-10817	-10817	-10817	-15574
1955	-15574	-15574	-15574	-9430	-6145	0	0	0	0	0	0	-3851
1956	1416	1048	1048	1048	-4502	-4502	-4502	-4502	-4502	-4502	-4502	-9599
1957	-4332	-9430	-15574	-11695	-6145	0	0	0	0	0	-113	-5210
1958	-10477	-15574	-15574	-9430	-3879	0	0	0	0	0	-2718	-7815
1959	-2549	1416	1416	1416	-4134	-4134	-4134	-4134	-4134	-4134	-4134	-9231
1960	-4332	-9430	-15574	-10562	-5012	0	0	0	0	0	0	-5097
1961	170	-4927	-11072	-4927	623	-5522	-5522	-5522	-5522	-5522	-5522	-10619
1962	-5352	-10449	-10449	-11553	-6003	-10732	-10732	-10732	-10732	-10732	-10732	-5635
1963	-368	-5465	-11610	-5465	-11015	-10477	-10477	-10477	-10477	-10477	-10477	-15574
1964	-10477	-15574	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1965	170	-4927	-11072	-4927	-3710	-9854	-9854	-9854	-9854	-9854	-9854	-14951
1966	-9684	-14781	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1967	-9345	-14442	-15574	-15574	-10024	-5295	-5295	-5295	-5295	-5295	-8014	-13111
1968	-10477	-15574	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1969	170	-4927	-11072	-4927	623	-4502	-4502	-4502	-4502	-4502	-4502	-9599
1970	-4332	-9430	-15574	-10562	-5012	0	0	0	0	0	0	-5097
1971	-453	-5550	-5550	-5550	0	0	0	0	0	0	0	-5097
1972	170	-4927	-5663	481	-4332	-10477	-10477	-10477	-10477	-10477	-10477	-15574
1973	-10477	-15574	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1974	170	-4927	-11072	-12176	-15574	-9430	-9430	-9430	-9430	-9430	-10477	-15574
1975	-15574	-15574	-15574	-9430	-3879	-3681	-3681	-3681	-3681	-3681	-3681	1416
1976	1416	1416	-4729	-9430	-9430	-15574	-15574	-15574	-15574	-15574	-15574	-15574
1977	-14781	-14781	-11582	-11582	-9316	-1407	-6060	-9316	-9316	-9316	-9316	-4219
1978	1048	-4049	-10194	-10194	-10194	-10194	-10194	-10194	-10194	-10194	-10194	-5097
1979	170	-4927	-11072	-12176	-10477	-10477	-10477	-10477	-10477	-10477	-10477	-15574
1980	-10477	-15574	-15574	-9430	-6116	57	0	0	0	0	0	-5097
1981	-8297	-13394	-13394	-13394	-7844	-7759	-7759	-7759	-7759	-7759	-10477	-15574
1982	-10477	-15574	-15574	-10562	-5012	0	0	0	0	0	-2718	-7815
1983	-13082	-13082	-13082	-6938	-6145	0	0	0	0	0	-2039	-3851
1984	1416	-3681	-5720	425	1416	-4502	-4502	-4502	-4502	-4502	-4502	-9599
1985	-4332	-9430	-15574	-9430	-6145	0	0	0	0	0	0	-5097
1986	-3936	-9033	-14668	-8523	-8523	-2379	-2379	-2379	-2379	-2379	-2379	-3851
1987	1416	-3002	-9146	-9146	-4972	0	-9146	-9146	-9146	-9146	-9146	-4049
1988	1218	-3879	-10024	-10024	-4995	0	-9463	-15574	-15574	-15574	-15574	-10477
1989	-5210	-9430	-15574	-9430	-14980	-8835	-8835	-8835	-8835	-10477	-10477	-15574
1990	-15574	-15574	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1991	170	-4927	-11072	-7702	-3341	0	0	0	0	0	0	-3851
1992	1416	-3285	-9430	-15574	-3874	0	-4941	-15574	-15574	-15574	-15574	-10477
1993	-5210	-10307	-14696	-14696	-14020	-6238	-14696	-14696	-14696	-14696	-14696	-9599
1994	-4332	-9430	-15574	-15574	-15574	-15574	-13606	-15574	-15574	-15574	-15574	-15574
1995	-15574	-15574	-15574	-11695	-6145	0	0	0	0	0	-113	-5210
1996	-10477	-15574	-15574	-11440	-5890	0	0	0	0	0	-2718	-6909
1997	-1642	-5267	-5267	-5267	57	57	0	0	0	0	0	0
1998	-15574	-15574	-15574	-9430	-3879	0	0	0	0	0	0	-5097
1999	1416	-3002	-9146	-9146	-9146	-9146	-9146	-9146	-9146	-9146	-9146	-4049


Q_LCA_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	-170	170	198	0	0	0	0	0	0	0	0	170
1941	-154	160	0	-198	-198	-117	0	0	0	0	0	170
1942	-170	170	198	0	-198	0	0	0	0	0	0	-64
1943	-170	0	198	0	0	198	0	0	0	95	0	-170
1944	-170	170	198	-288	-206	0	0	0	0	0	0	-170
1945	-170	170	198	0	-378	-161	267	0	0	0	0	170
1946	-164	170	0	-127	-198	-124	0	0	0	0	0	170
1947	-170	156	0	-198	198	-198	0	0	0	0	0	135
1948	-170	170	198	0	198	0	0	0	0	0	0	-29
1949	-170	0	198	0	-198	0	0	0	0	0	0	170
1950	15	0	0	-198	-198	-125	0	0	0	0	58	170
1951	-170	170	0	-198	198	-198	0	0	0	0	0	170
1952	-25	170	198	-198	0	0	0	0	0	0	0	170
1953	-170	170	0	19	-198	-15	0	0	0	0	0	-170
1954	-170	170	51	-198	198	198	0	0	0	0	0	159
1955	0	0	0	-198	-117	-198	0	0	0	0	0	128
1956	-170	12	0	0	198	0	0	0	0	0	0	170
1957	-170	170	198	-125	-198	-198	0	0	0	0	4	170
1958	170	170	0	-198	-198	-125	0	0	0	0	88	170
1959	-170	-132	0	0	198	0	0	0	0	0	0	170
1960	-158	170	198	-162	-198	-162	0	0	0	0	0	170
1961	-170	170	198	-198	-198	198	0	0	0	0	0	170
1962	-170	170	0	36	-198	153	0	0	0	0	0	-170
1963	-170	170	198	-198	198	-17	0	0	0	0	0	170
1964	-164	170	0	-198	-198	-125	0	0	0	0	0	170
1965	-170	170	198	-198	-43	198	0	0	0	0	0	170
1966	-170	170	26	-198	-198	-125	0	0	0	0	0	170
1967	137	170	37	0	-198	-153	0	0	0	0	88	170
1968	-85	170	0	-198	-198	-125	0	0	0	0	0	170
1969	-170	170	198	-198	-198	165	0	0	0	0	0	170
1970	-170	170	198	-162	-198	-162	0	0	0	0	0	170
1971	-150	170	0	0	-198	0	0	0	0	0	0	170
1972	-170	170	24	-198	172	198	0	0	0	0	0	170
1973	-164	170	0	-198	-198	-125	0	0	0	0	0	170
1974	-170	170	198	36	121	-198	0	0	0	0	34	170
1975	0	0	0	-198	-198	-6	0	0	0	0	0	-170
1976	0	0	198	152	0	198	0	0	0	0	0	0
1977	-26	0	-103	0	-81	-255	155	0	0	0	0	-170
1978	-170	170	198	0	0	0	0	0	0	0	0	-170
1979	-170	170	198	36	-61	0	0	0	0	0	0	170
1980	-164	170	0	-198	-118	-199	2	0	0	0	0	170
1981	103	170	0	0	-198	-3	0	0	0	0	88	170
1982	-164	170	0	-162	-198	-162	0	0	0	0	88	170
1983	170	0	0	-198	-28	-198	0	0	0	0	66	60
1984	-170	170	66	-198	-35	191	0	0	0	0	0	170
1985	-170	170	198	-198	-117	-198	0	0	0	0	0	170
1986	-37	170	182	-198	0	-198	0	0	0	0	0	49
1987	-170	147	198	0	-149	-160	0	0	0	0	0	-170
1988	-170	170	198	0	-180	-161	315	0	0	0	0	-170
1989	-170	141	198	-198	198	-198	0	0	0	53	0	170
1990	0	0	0	-198	-198	-125	0	0	0	0	0	170
1991	-170	170	198	-109	-156	-108	0	0	0	0	0	128
1992	-170	157	198	198	-418	-125	165	0	0	0	0	-170
1993	-170	170	142	0	-24	-251	0	0	0	0	0	-170
1994	-170	170	198	0	0	0	-66	0	0	0	0	0
1995	0	0	0	-125	-198	-198	0	0	0	0	4	170
1996	170	170	0	-133	-198	-190	0	0	0	0	88	140
1997	-170	121	0	0	-190	0	2	0	0	0	0	0
1998	502	0	0	-198	-198	-125	0	0	0	0	0	170
1999	-210	147	198	0	0	0	0	0	0	0	0	-170
 

Q_NT_BC_min_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	-92.9	-58.7	-283.2	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-283.2
1941	-26.1	-265.4	-24.7	-283.2	-113.9	-11.3	0.0	0.0	0.0	0.0	0.0	-283.2
1942	-185.6	-8.5	-283.2	-283.2	-6.9	0.0	0.7	0.0	0.0	0.0	0.0	-120.9
1943	-4.6	0.0	-9.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-158.9
1944	-105.3	0.0	0.0	0.0	0.0	0.0	50.5	0.0	0.0	0.0	0.0	-159.7
1945	-78.5	-8.5	-283.2	-283.2	-138.6	0.0	16.6	-156.1	0.0	0.0	156.0	-283.2
1946	0.0	-102.1	-283.2	-283.2	-269.0	0.0	0.0	-41.1	0.0	0.0	41.1	-283.2
1947	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	0.7	-198.2	0.0	0.0	198.2	-283.2
1948	-147.1	-8.5	-283.2	-283.2	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-152.4
1949	-58.7	0.0	-273.8	-283.2	-141.9	0.0	0.7	0.0	0.0	-199.6	199.6	-283.2
1950	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1951	-283.2	-228.0	-283.2	-283.2	-208.6	0.0	-56.2	0.0	0.0	0.0	0.0	-187.2
1952	-115.7	0.0	-9.9	-118.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1953	-140.9	-82.7	-283.2	-283.2	-269.0	-17.1	0.0	-28.0	0.0	0.0	28.0	-283.2
1954	-160.3	-255.8	-283.2	-212.8	-151.8	0.0	0.7	0.0	0.0	-213.8	213.8	-263.5
1955	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	-38.7	-231.6	0.0	0.0	231.6	-261.7
1956	-150.0	-0.6	-283.2	-283.2	-269.0	0.0	0.0	-109.8	-13.0	0.0	122.5	-283.2
1957	-41.2	-8.5	-140.6	-283.2	-189.9	-63.2	0.0	-224.0	0.0	0.0	224.0	-283.2
1958	-188.4	-278.0	-283.2	-283.2	-269.0	0.0	0.0	-12.6	0.0	0.0	12.6	-283.2
1959	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	-67.5	0.0	0.0	0.0	0.0	-229.4
1960	-177.6	-138.6	-283.2	-283.2	-214.1	0.0	0.0	0.0	0.0	0.0	0.0	-252.4
1961	-63.1	-8.5	-283.2	-283.2	-74.8	0.0	0.7	0.0	0.0	0.0	0.0	-180.7
1962	-151.2	-283.2	-283.2	-283.2	-247.8	0.0	0.7	0.0	0.0	0.0	0.0	-229.4
1963	-60.9	-8.5	-283.2	-283.2	-199.9	0.0	0.7	0.0	0.0	0.0	0.0	-283.2
1964	-283.2	-103.3	-283.2	-283.2	-269.0	0.0	0.0	-67.1	0.0	0.0	67.1	-214.3
1965	-196.0	-8.5	-283.2	-283.2	-204.4	0.0	0.0	0.0	0.0	0.0	0.0	-244.6
1966	-109.0	-8.5	-283.2	-283.2	-269.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1967	-276.9	-105.5	-283.2	-283.2	-269.0	-77.6	0.0	0.0	0.0	0.0	0.0	-283.2
1968	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	0.0	-251.0	0.0	0.0	251.0	-243.7
1969	-144.4	-8.5	-217.1	-259.5	-45.6	0.0	0.7	0.0	0.0	0.0	0.0	-279.1
1970	-24.2	-8.5	-238.6	-283.2	-269.0	0.0	0.0	-146.1	0.0	0.0	146.1	-283.2
1971	-165.9	-21.0	-283.2	-283.2	-269.0	0.0	0.0	-96.8	0.0	0.0	96.8	-283.2
1972	-125.2	-8.5	-283.2	-283.2	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-228.9
1973	-137.3	0.0	-283.2	-283.2	-269.0	0.0	0.0	-139.3	0.0	0.0	139.3	-283.2
1974	-33.8	-8.5	-283.2	-283.2	-208.6	0.0	0.7	0.0	0.0	0.0	0.0	-283.2
1975	-283.2	-283.2	-283.2	-283.2	-269.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1976	-261.1	0.0	-9.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-101.6
1977	0.0	0.0	-164.0	0.0	-40.3	0.0	0.7	0.0	0.0	0.0	0.0	-283.2
1978	-270.3	-8.5	-217.5	-270.6	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-147.5
1979	-169.1	-8.5	-161.5	-113.6	-27.5	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1980	-128.3	-8.5	-283.2	-283.2	-269.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
1981	-281.7	-135.9	-283.2	-283.2	-226.8	-1.6	0.7	-162.8	0.0	0.0	162.8	-283.2
1982	-198.0	-151.6	-283.2	-283.2	-269.0	0.0	0.0	-2.5	0.0	0.0	2.5	-283.2
1983	-273.0	-283.2	-283.2	-283.2	-71.0	0.0	0.7	0.0	0.0	0.0	0.0	-257.6
1984	-42.8	-240.9	-283.2	-283.2	-208.7	0.0	0.0	0.0	0.0	0.0	0.0	-76.6
1985	-40.2	-279.8	-277.2	-262.4	-160.5	0.0	0.7	0.0	0.0	0.0	0.0	-251.7
1986	-0.1	-91.0	-283.2	-281.4	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-138.9
1987	-50.6	0.0	-9.9	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-180.4
1988	-88.2	-8.5	-283.2	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.0	-185.4
1989	-84.6	0.0	-283.2	-283.2	-269.0	-6.9	0.0	0.0	0.0	0.0	0.0	-220.8
1990	-70.3	-283.2	-283.2	-283.2	-269.0	-3.1	0.0	0.0	0.0	0.0	0.0	-110.4
1991	-98.9	0.0	-9.9	-158.5	-64.2	0.0	0.7	0.0	0.0	0.0	0.0	-57.5
1992	-89.2	-7.8	-78.4	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-125.7
1993	-85.1	-8.5	-7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-224.1
1994	-74.3	-8.5	-258.7	-251.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-283.2
